id,SlogP,NumHBD,NumHBA,ExactMW,NumRotatableBonds,SMR,TPSA
CHEMBL86206,7.51,2.0,5.0,497.26,9.0,148.13,66.07
CHEMBL150704,2.69,4.0,8.0,433.26,10.0,128.46,98.23
CHEMBL494491,4.75,2.0,4.0,326.25,9.0,102.29,49.84
CHEMBL494717,4.4,2.0,4.0,326.25,9.0,102.54,49.84
CHEMBL1213784,3.53,0.0,1.0,479.18,9.0,128.54,9.23
CHEMBL1213785,3.92,0.0,1.0,493.2,9.0,133.14,9.23
CHEMBL494698,5.9,2.0,4.0,376.26,9.0,119.79,49.84
CHEMBL81,6.08,2.0,6.0,473.17,7.0,136.25,70.0
CHEMBL155510,2.44,3.0,10.0,491.26,10.0,139.37,107.9
CHEMBL335884,3.8,2.0,3.0,274.1,0.0,77.9,40.46
CHEMBL216355,4.12,2.0,3.0,282.13,1.0,79.66,49.69
CHEMBL278936,3.29,2.0,4.0,296.1,1.0,80.05,66.76
CHEMBL491235,7.74,1.0,2.0,422.19,8.0,131.18,46.53
CHEMBL358890,3.0,2.0,8.0,448.26,10.0,130.1,86.64
CHEMBL189178,5.81,1.0,4.0,423.08,4.0,95.53,50.42
CHEMBL197080,5.63,2.0,2.0,368.1,3.0,97.28,40.46
CHEMBL296411,3.88,0.0,3.0,270.13,5.0,81.47,27.69
CHEMBL464360,-0.64,6.0,10.0,432.11,3.0,102.21,173.98
CHEMBL432371,7.41,1.0,4.0,467.25,8.0,141.84,45.84
CHEMBL56198,5.66,2.0,5.0,458.26,7.0,135.69,56.17
CHEMBL153303,3.34,3.0,8.0,473.29,8.0,140.33,89.44
CHEMBL236086,4.26,2.0,4.0,326.15,3.0,90.38,58.92
CHEMBL490197,6.98,2.0,3.0,422.15,6.0,126.21,66.76
CHEMBL234639,4.12,2.0,3.0,282.13,1.0,79.66,49.69
CHEMBL292573,5.93,1.0,4.0,395.2,7.0,122.35,49.25
CHEMBL60909,5.31,1.0,5.0,420.24,11.0,126.71,54.82
CHEMBL234633,4.12,2.0,3.0,282.13,1.0,79.66,49.69
CHEMBL236720,4.51,2.0,4.0,362.13,3.0,90.71,58.92
CHEMBL234637,4.41,1.0,2.0,266.13,1.0,78.0,29.46
CHEMBL383372,6.02,3.0,5.0,498.25,9.0,146.92,82.03
CHEMBL390021,7.01,1.0,4.0,457.21,7.0,133.31,41.93
CHEMBL58486,5.52,1.0,3.0,346.2,5.0,109.62,36.36
CHEMBL59146,5.59,1.0,4.0,456.24,7.0,134.65,53.01
CHEMBL411,4.83,2.0,2.0,268.15,4.0,83.61,40.46
CHEMBL372526,5.51,2.0,2.0,392.04,3.0,104.91,40.46
CHEMBL394338,3.61,3.0,4.0,312.14,2.0,85.59,69.92
CHEMBL158017,5.49,2.0,4.0,394.22,9.0,123.42,49.84
CHEMBL293599,3.2,3.0,3.0,241.11,1.0,70.9,52.49
CHEMBL150466,3.47,3.0,9.0,486.16,10.0,132.88,95.43
CHEMBL491433,7.45,2.0,3.0,438.18,8.0,132.85,66.76
CHEMBL31738,7.57,1.0,3.0,451.25,6.0,143.79,32.7
CHEMBL150279,2.85,3.0,8.0,465.27,10.0,133.2,89.44
CHEMBL294710,6.11,1.0,3.0,394.2,6.0,124.93,36.36
CHEMBL153709,3.34,4.0,8.0,467.22,10.0,133.47,98.23
CHEMBL59438,3.31,2.0,3.0,237.08,1.0,70.51,53.35
CHEMBL293297,5.79,2.0,5.0,444.24,6.0,131.64,56.17
CHEMBL30996,6.48,1.0,3.0,441.27,6.0,135.43,32.7
CHEMBL524104,6.54,1.0,3.0,410.15,7.0,123.28,55.76
CHEMBL418971,3.42,2.0,2.0,228.12,2.0,68.34,40.46
CHEMBL58714,6.89,1.0,3.0,434.24,5.0,136.59,36.36
CHEMBL59552,5.21,1.0,3.0,332.19,5.0,104.88,36.36
CHEMBL153359,2.58,3.0,9.0,472.27,10.0,137.96,113.23
CHEMBL2112892,3.5,3.0,8.0,493.24,10.0,140.71,89.44
CHEMBL152993,3.71,2.0,8.0,464.24,10.0,135.32,77.41
CHEMBL495337,4.94,2.0,4.0,360.23,9.0,112.98,49.84
CHEMBL236718,4.36,2.0,3.0,318.11,1.0,79.99,49.69
CHEMBL59311,5.3,2.0,5.0,472.24,7.0,136.31,73.24
CHEMBL193482,2.58,3.0,3.0,288.17,0.0,80.12,60.69
CHEMBL492875,4.42,1.0,4.0,340.26,9.0,107.32,41.05
CHEMBL83,6.0,0.0,2.0,371.22,8.0,119.58,12.47
CHEMBL56166,5.3,2.0,5.0,472.24,7.0,136.31,73.24
CHEMBL244205,7.01,1.0,4.0,457.21,7.0,133.31,41.93
CHEMBL381645,5.48,2.0,4.0,427.21,6.0,128.06,52.93
CHEMBL244207,5.4,1.0,6.0,493.19,7.0,139.16,76.07
CHEMBL244206,7.15,1.0,4.0,475.2,7.0,133.27,41.93
CHEMBL138544,3.8,2.0,3.0,274.1,0.0,77.9,40.46
CHEMBL135732,3.8,2.0,3.0,274.1,0.0,77.9,40.46
CHEMBL179243,4.27,0.0,3.0,284.14,6.0,86.09,27.69
CHEMBL335328,3.8,2.0,3.0,274.1,0.0,77.9,40.46
CHEMBL451143,4.23,1.0,4.0,306.28,9.0,96.63,41.05
CHEMBL131163,4.41,2.0,3.0,288.13,3.0,91.11,58.61
CHEMBL522823,5.55,2.0,4.0,376.26,9.0,120.04,49.84
CHEMBL493097,5.33,2.0,4.0,358.22,8.0,114.5,49.84
CHEMBL489585,7.84,2.0,3.0,452.2,9.0,137.46,66.76
CHEMBL149803,3.02,3.0,8.0,461.29,10.0,137.98,89.44
CHEMBL236495,4.29,2.0,4.0,408.34,12.0,117.13,81.42
CHEMBL61026,5.85,1.0,4.0,395.2,6.0,122.47,49.25
CHEMBL380565,4.2,3.0,3.0,315.13,2.0,96.69,66.48
CHEMBL954,6.56,0.0,2.0,405.19,9.0,124.38,12.47
CHEMBL346215,3.36,3.0,8.0,481.24,10.0,138.25,89.44
CHEMBL489584,7.3,2.0,3.0,438.18,7.0,132.78,66.76
CHEMBL392906,4.75,1.0,5.0,451.33,14.0,124.66,81.7
CHEMBL356852,3.03,3.0,8.0,447.27,10.0,133.09,89.44
CHEMBL235829,4.9,2.0,3.0,350.11,2.0,84.59,49.69
CHEMBL235828,3.68,2.0,4.0,310.12,1.0,84.67,66.76
CHEMBL1276308,5.41,1.0,3.0,429.27,2.0,129.43,40.54
CHEMBL56390,5.4,2.0,5.0,430.23,6.0,127.03,56.17
CHEMBL364368,4.93,1.0,3.0,443.25,3.0,129.57,57.61
CHEMBL278703,4.12,2.0,3.0,282.13,1.0,79.66,49.69
CHEMBL491236,7.75,1.0,3.0,452.2,9.0,137.73,55.76
CHEMBL57875,5.8,1.0,3.0,380.19,6.0,120.19,36.36
CHEMBL493702,3.27,2.0,4.0,256.15,6.0,73.7,49.84
CHEMBL153115,2.99,3.0,8.0,483.26,10.0,133.16,89.44
CHEMBL152916,2.81,3.0,9.0,483.21,10.0,135.43,98.67
CHEMBL393340,4.66,2.0,4.0,437.31,13.0,120.28,92.7
CHEMBL152913,3.75,3.0,8.0,495.25,11.0,142.87,89.44
CHEMBL489,5.7,1.0,3.0,387.22,8.0,121.25,32.7
CHEMBL316003,7.12,2.0,5.0,483.24,8.0,143.51,66.07
CHEMBL1087884,3.81,2.0,4.0,278.25,8.0,87.23,49.84
CHEMBL364442,5.27,2.0,2.0,334.08,2.0,97.29,40.46
CHEMBL153062,4.69,1.0,1.0,220.18,8.0,69.8,20.23
CHEMBL153765,3.44,3.0,8.0,453.32,10.0,134.29,89.44
CHEMBL135236,3.74,2.0,2.0,268.15,0.0,80.02,40.46
CHEMBL494493,4.75,2.0,4.0,326.25,9.0,102.29,49.84
CHEMBL494492,5.9,2.0,4.0,376.26,9.0,119.79,49.84
CHEMBL234638,4.12,2.0,3.0,282.13,1.0,79.66,49.69
CHEMBL128227,5.26,2.0,3.0,316.16,5.0,100.86,44.62
CHEMBL234462,4.51,2.0,3.0,296.14,1.0,84.28,49.69
CHEMBL234463,4.9,2.0,3.0,310.16,1.0,88.9,49.69
CHEMBL234460,3.16,2.0,3.0,242.09,1.0,67.9,49.69
CHEMBL128654,4.53,2.0,3.0,289.11,3.0,88.36,52.82
CHEMBL175525,4.27,0.0,3.0,284.14,6.0,86.09,27.69
CHEMBL153211,2.99,3.0,8.0,433.26,9.0,128.22,89.44
CHEMBL57093,6.24,1.0,4.0,409.22,7.0,127.09,49.25
CHEMBL1800984,4.75,2.0,5.0,366.1,4.0,100.99,71.45
CHEMBL391532,4.9,2.0,3.0,350.11,2.0,84.59,49.69
CHEMBL405154,3.23,3.0,4.0,263.03,2.0,69.6,73.05
CHEMBL493490,4.78,2.0,4.0,324.23,8.0,104.06,49.84
CHEMBL135,3.61,2.0,2.0,272.18,0.0,78.73,40.46
CHEMBL191066,5.81,1.0,4.0,423.08,4.0,95.53,50.42
CHEMBL60538,5.95,1.0,4.0,442.26,7.0,134.02,35.94
CHEMBL8145,2.87,2.0,4.0,254.06,1.0,71.25,70.67
CHEMBL185355,3.18,3.0,6.0,319.1,2.0,88.85,90.88
CHEMBL399832,4.42,2.0,3.0,296.14,1.0,84.4,49.69
CHEMBL26865,4.32,3.0,3.0,316.11,2.0,93.94,60.69
CHEMBL489183,9.01,2.0,3.0,494.25,12.0,151.31,66.76
CHEMBL1162,3.49,1.0,2.0,298.19,0.0,85.88,37.3
CHEMBL59184,6.07,1.0,3.0,380.19,5.0,120.06,36.36
CHEMBL1800985,4.15,2.0,6.0,367.1,4.0,98.79,84.34
CHEMBL495326,5.58,1.0,4.0,390.28,9.0,124.82,41.05
CHEMBL298398,1.87,2.0,4.0,240.04,0.0,63.08,74.6
CHEMBL346401,3.42,3.0,8.0,461.29,11.0,137.71,89.44
CHEMBL58449,7.22,1.0,3.0,430.2,5.0,137.57,36.36
CHEMBL1405,3.82,1.0,2.0,270.16,0.0,77.73,37.3
CHEMBL1479,4.22,1.0,3.0,337.2,0.0,96.35,46.26
CHEMBL282575,5.12,1.0,3.0,376.2,3.0,108.47,46.53
CHEMBL473801,4.45,1.0,4.0,371.11,3.0,104.59,65.78
CHEMBL58688,5.66,2.0,5.0,458.26,7.0,135.69,56.17
CHEMBL315475,6.26,2.0,4.0,386.15,5.0,114.28,62.83
CHEMBL315474,7.12,2.0,5.0,483.24,8.0,143.51,66.07
CHEMBL195437,4.3,1.0,1.0,206.17,7.0,65.19,20.23
CHEMBL426073,5.51,2.0,5.0,439.08,4.0,97.19,70.65
CHEMBL243970,8.05,1.0,5.0,487.22,8.0,145.32,41.93
CHEMBL236045,4.36,2.0,3.0,296.14,1.0,84.21,49.69
CHEMBL59271,5.5,1.0,4.0,395.2,6.0,122.72,49.25
CHEMBL150503,2.77,4.0,8.0,431.24,9.0,129.18,98.23
CHEMBL494706,3.68,3.0,5.0,293.26,9.0,92.02,61.87
CHEMBL346455,4.02,3.0,8.0,484.18,10.0,135.71,86.2
CHEMBL12987,6.43,2.0,5.0,466.23,5.0,140.78,56.17
CHEMBL56306,5.27,2.0,5.0,444.24,7.0,131.07,56.17
CHEMBL10041,5.7,1.0,3.0,387.22,8.0,121.25,32.7
CHEMBL58563,6.11,1.0,3.0,394.2,6.0,124.93,36.36
CHEMBL1201151,3.92,1.0,2.0,310.19,1.0,91.39,29.46
CHEMBL1213617,1.84,1.0,2.0,245.07,2.0,53.28,40.54
CHEMBL58504,5.67,1.0,3.0,346.2,6.0,109.69,36.36
CHEMBL135180,3.8,2.0,3.0,274.1,0.0,77.9,40.46
CHEMBL244000,6.58,2.0,5.0,455.21,7.0,135.02,62.16
CHEMBL691,3.61,2.0,2.0,296.18,0.0,86.51,40.46
CHEMBL314561,6.86,2.0,5.0,469.23,7.0,138.87,66.07
CHEMBL33889,7.38,1.0,4.0,481.26,7.0,148.25,49.77
CHEMBL393390,4.51,2.0,4.0,362.13,3.0,90.71,58.92
CHEMBL198499,3.71,3.0,3.0,343.12,3.0,100.79,83.55
CHEMBL31068,8.35,1.0,3.0,479.28,6.0,153.02,32.7
CHEMBL130030,4.87,2.0,3.0,302.14,4.0,96.24,44.62
CHEMBL319244,2.9,2.0,4.0,284.1,6.0,79.91,66.76
CHEMBL523138,7.88,1.0,2.0,440.18,8.0,131.14,46.53
CHEMBL85561,7.41,1.0,4.0,467.25,8.0,141.84,45.84
CHEMBL31089,6.59,2.0,4.0,455.25,6.0,139.71,52.93
CHEMBL428926,5.49,1.0,6.0,495.21,7.0,138.54,76.07
CHEMBL1200324,4.12,2.0,2.0,328.25,0.0,94.5,48.91
CHEMBL1087252,6.61,1.0,4.0,474.23,7.0,146.44,55.12
CHEMBL495135,4.94,2.0,4.0,360.23,9.0,112.98,49.84
CHEMBL58330,7.68,1.0,3.0,470.24,8.0,149.15,36.36
CHEMBL335465,4.83,1.0,2.0,273.12,3.0,86.69,32.59
CHEMBL370403,4.82,2.0,3.0,342.13,3.0,102.28,57.53
CHEMBL494121,5.29,2.0,4.0,360.23,9.0,112.73,49.84
CHEMBL285483,4.97,2.0,7.0,485.18,7.0,136.91,100.21
CHEMBL391046,4.45,1.0,5.0,447.3,13.0,124.55,81.7
CHEMBL2103774,3.88,1.0,2.0,312.21,0.0,90.49,37.3
CHEMBL397775,4.41,1.0,2.0,266.13,1.0,78.0,29.46
CHEMBL490198,7.45,2.0,3.0,438.18,8.0,132.85,66.76
CHEMBL311636,3.88,0.0,3.0,270.13,5.0,81.47,27.69
CHEMBL390020,6.58,2.0,5.0,455.21,7.0,135.02,62.16
CHEMBL289277,1.89,3.0,5.0,270.05,0.0,69.48,94.83
CHEMBL153395,2.88,3.0,8.0,459.27,9.0,135.77,89.44
CHEMBL1200623,5.09,1.0,1.0,288.25,1.0,86.94,20.23
CHEMBL484451,3.17,2.0,4.0,250.22,7.0,78.07,49.84
CHEMBL165,2.97,3.0,3.0,228.08,2.0,66.81,60.69
CHEMBL243999,6.74,1.0,5.0,464.21,7.0,138.07,65.72
CHEMBL1628190,4.94,2.0,4.0,435.28,5.0,127.35,52.93
CHEMBL154988,3.71,2.0,8.0,495.25,10.0,142.88,80.65
CHEMBL153405,3.36,3.0,8.0,481.24,10.0,138.25,89.44
CHEMBL514646,4.77,1.0,3.0,346.11,3.0,100.04,41.99
CHEMBL150356,2.3,4.0,8.0,419.24,9.0,123.85,98.23
CHEMBL235386,4.65,2.0,4.0,340.17,4.0,94.99,58.92
