Hybridization REF ,tumour,tumour,normal,normal,tumour,normal,tumour,normal,tumour,normal,tumour,normal,tumour,normal,tumour,normal,tumour,normal,tumour,normal,tumour,normal,tumour,normal,tumour,normal,tumour,normal,tumour,normal,tumour,normal,tumour,normal,tumour,normal,tumour,normal,tumour,normal,tumour,normal,tumour,normal,tumour,tumour,normal,normal,tumour,normal,tumour,normal
ILMN_1762337,-0.1732629,-2.107077,6.3672,-0.3322575,-3.349583,0.180319,-5.591096,-0.06507377,-1.593068,-1.814978,-3.72497,-3.08406,-2.566988,4.278152,0.5484322,-1.633054,-4.985658,4.748731,-3.575197,1.105537,-2.867193,0.3828804,-6.263396,0.4909723,0.3751878,3.736618,-4.563212,10.83399,-4.100937,-1.072702,-4.962252,-1.903985,3.657111,14.04849,-3.727076,-4.862629,2.546414,21.87898,-6.338834,8.027948,-4.151938,-0.5509817,-1.914504,-2.346395,-0.01462008,-4.259654,-4.331833,1.321304,-3.480234,4.813276,-3.618314,-0.898699
ILMN_2055271,12.67577,23.01938,10.31273,18.89608,10.58412,13.59674,13.59045,23.13227,12.97106,9.616006,13.20061,11.40238,19.96506,4.616577,12.92063,10.63594,12.95623,12.27487,5.92718,4.436481,13.77385,5.020896,20.95987,19.28511,16.33257,11.76297,14.42567,22.19734,7.974038,24.39993,10.83965,10.27109,10.54469,13.64942,7.340904,5.558493,14.35813,17.65958,12.88828,12.38263,9.063896,9.669706,14.98503,10.46769,16.3638,13.37256,18.22794,18.64926,17.95665,1.109972,22.21651,6.215099
ILMN_1736007,-3.346717,-0.02743445,-4.595468,-2.645949,1.485109,2.466706,-2.102238,3.118086,0.3461002,-6.039745,-1.278651,-0.7301336,-1.265057,2.777005,-0.8972253,-2.385096,-2.259278,0.2989015,0.4865755,-4.149888,-0.2568497,-2.922495,-2.881288,0.04271197,-1.9428,-2.125572,-1.717881,-0.2972839,7.788043,7.191198,0.2312291,-1.521772,-4.218631,0.8427345,-1.569633,2.49307,1.140051,4.834553,-5.366289,-4.274554,1.464159,-0.4856722,1.064447,9.21786,2.707393,-0.6036327,2.807965,3.753104,-0.2370557,-0.7160383,-0.9241873,1.651552
ILMN_2383229,-3.156069,0.4231651,-0.03298777,3.293778,-7.668299,-7.300206,-7.672909,2.155015,-0.9700087,3.536072,-0.8267885,-4.161109,21.71319,-8.583883,3.833364,0.6331821,-4.514925,-6.653944,2.825641,-0.7785158,-3.251986,-2.264651,-5.138763,-7.891294,-1.303266,3.302656,-5.052069,0.6929728,3.803864,-1.391255,-3.049078,-1.743726,-2.133606,-0.5317397,2.679582,-1.651074,-0.6864442,-3.224201,0.7237968,-2.392555,6.51466,7.635162,-2.703501,-3.768741,0.4393913,-2.976808,-1.493217,2.180111,3.231385,0.1424089,2.919625,-3.757864
ILMN_1806310,-1.794968,0.3430701,-4.689618,-1.141156,-6.533545,-3.838337,-3.459418,-0.9564996,-2.104019,1.119383,4.937584,1.39656,16.12417,0.05025839,-0.8609666,1.009946,-0.3864955,-0.7078564,-0.9286728,-1.026685,-0.3417734,-0.5655719,1.489308,0.1901919,-2.596806,1.697963,7.634073,4.431088,-6.413534,-1.032077,-2.397909,-0.5057955,2.312883,26.00821,5.313733,-3.918123,-3.946844,6.652311,4.583701,3.774984,-3.98158,-1.780728,-1.056471,0.3391974,6.907049,2.744737,-0.9962831,-0.02120373,-4.12366,8.841218,10.19904,-2.37172
ILMN_1779670,2.082897,-0.8054541,1.418744,2.304961,1.726248,0.2853013,3.510615,10.22466,-1.165324,3.844531,-1.604166,10.31273,3.755114,0.08252478,2.241577,4.848586,-1.506137,-2.330105,3.469359,-3.261479,2.722167,7.933176,2.328132,-1.195315,6.973223,3.778109,8.62857,5.98163,11.4836,7.677272,5.164097,-3.49139,7.30494,1.801609,0.5634805,2.407275,5.457729,0.5492266,5.686349,7.476421,9.012819,1.40537,8.510394,9.547356,7.335928,3.205931,7.330618,4.729256,5.34243,5.816213,8.723139,5.102046
ILMN_1653355,11.43374,27.38334,13.53425,54.75948,13.78395,11.37748,16.29307,18.51585,14.01023,6.888161,20.09873,18.75296,20.50645,9.623463,15.0207,17.17269,12.42976,13.85221,11.67129,4.338602,12.8925,13.89686,16.31977,13.70275,20.53677,17.11443,35.20531,32.60088,37.34798,56.42621,13.44619,18.80367,27.84307,22.78294,17.02687,25.42375,5.901751,26.80917,15.52223,18.40003,15.81467,12.8186,22.65486,14.00319,29.87293,31.71009,31.14349,25.77303,23.54259,21.23814,13.83089,11.91431
ILMN_1717783,-5.780927,-5.387981,-8.700768,-5.706573,-3.828262,-2.464131,-9.368278,-2.487611,-8.099192,-2.317478,-4.468331,-5.714057,-2.262177,-0.8429756,-4.833462,-4.325573,-8.4827,-2.6993,-4.239493,-0.7447814,-3.80706,-5.643026,-6.544358,-2.926192,-5.572392,-10.67412,-11.70887,-7.147205,-1.240036,-2.33817,-6.291741,-10.66224,-7.06692,-6.264932,-2.399367,-5.795439,0.3638588,-6.559067,-7.70081,-8.789551,-5.569558,-9.260585,-2.165692,-2.446395,-3.50787,-2.583714,-0.1543884,-1.097589,-1.309323,-1.005944,2.439263,-2.899877
ILMN_1705025,-5.328065,2.858727,-4.489961,-1.084843,-4.459597,-1.522209,3.888943,1.97096,-2.56035,-2.129716,-0.4407662,0.3597278,3.477943,-6.852345,-3.215624,-4.980933,-1.009029,-1.36638,-1.16315,-3.81725,-2.245293,-3.632202,-2.645558,-2.843369,0.837735,-0.1082688,6.592388,3.56822,1.642251,2.722646,0.311811,-2.531524,2.361591,0.7810524,-7.415503,-0.5518115,-2.115807,-2.019307,-1.497761,0.2064741,-1.918708,3.451554,-1.057241,-0.4163574,0.8123598,4.885373,-0.2494786,-4.190786,5.560272,2.19686,1.496513,-5.710733
ILMN_1814316,-2.166512,-4.685796,-6.604164,-11.46974,0.3810477,-2.994868,-7.466948,-4.972327,-4.96747,-5.311442,-3.047571,84.85281,-7.019269,35.28251,-10.99877,1.971643,-5.456554,-3.977302,-12.08774,-0.5113252,16.84286,-3.38291,-4.281114,49.73774,-9.983468,-2.192149,-1.275098,-4.113598,1.332496,-2.002535,-8.5811,-7.658084,-2.352861,1.124704,-3.121202,-5.043541,-2.559856,-9.648535,-2.919436,-1.047231,-11.26849,-8.572207,-5.219536,0.6942689,-5.589757,2.057606,-8.572207,-0.7141935,-0.1177267,7.159815,-6.434644,-0.4279661