steroidid,1x10-5 mol.dm-3,1x10-4 mol.dm-3, 1x10-3 mol.dm-3
13736,6.675,5.932,4.799
13739,-0.143,0.967,4.263
13738,4.482,10.458,5.682
10890,-0.519,-0.099,4.696
10964,-1.904,-0.016,3.28
13548,2.43,2.478,8.649
7889,-1.0,2.244,60.017
10701,-0.23,-2.189,13.679
10706,0.203,3.04,-0.944
8041,1.666,4.832,8.213
13724,-1.106,0.193,3.16
10633,0.829,-0.264,4.457
10387,-1.433,-3.742,-2.832
10385,11.491,10.289,9.88
10383,0.049,-1.878,5.035
10382,10.669,12.159,10.249
10388,-1.403,-0.027,8.739
8944,-0.005,-0.902,3.253
14013,-2.384,0.463,5.199
14012,-0.532,0.051,5.88
10093,0.105,4.897,0.663
8166,0.037,0.815,3.08
8165,11.991,19.095,8.844
8164,3.448,-0.009,-0.64
8549,0.0,5.897,0.985
8548,-0.6,5.214,2.147
8547,-1.575,0.591,6.305
8497,15.86,16.195,27.987
13601,-3.035,0.286,-0.723
10880,3.559,-1.061,-1.355
13877,8.618,4.277,6.949
13530,0.52,0.715,4.26
9537,9.443,21.874,11.436
10626,0.026,4.106,-1.416
10153,0.824,0.919,-3.098
10409,-2.456,-0.491,7.78
10390,-0.515,2.05,4.333
10392,-2.129,-0.461,4.421
10394,-0.549,0.042,-3.594
10395,-0.16,3.122,2.805
10396,-0.51,-0.854,6.12
10399,-1.531,1.72,6.078
10712,-0.959,-1.016,-3.251
10571,3.169,-0.578,0.153
10089,-1.567,3.587,-1.582
10086,0.808,3.02,-1.572
8156,0.899,14.515,8.196
8622,4.029,13.525,10.618
13841,20.073,8.506,1.964
13843,4.775,4.949,8.977
13845,-1.64,4.718,5.185
13847,-1.491,-0.157,6.541
13846,2.479,5.608,2.606
13849,5.696,3.309,6.804
13848,2.884,8.855,-0.211
8029,-1.575,2.162,7.682
9980,1.781,5.67,-1.634
11026,1.789,3.27,1.045
11029,-0.605,0.0,5.288
11362,3.962,1.953,0.544
9965,-0.052,3.5,9.581
9962,-1.368,-0.006,3.055
9963,1.494,3.558,0.365
9968,7.168,-0.02,-1.173
13527,0.001,-0.364,10.214
7904,1.283,14.404,8.885
13458,3.471,3.588,12.266
13459,-1.736,7.345,7.724
10369,-1.262,6.923,3.328
10368,-0.626,-0.376,7.695
13659,-1.035,-0.791,7.615
10367,-2.504,-0.074,6.106
10764,4.296,0.924,2.338
10504,7.045,15.297,21.144
10413,3.843,-0.508,-1.56
10410,0.43,0.839,9.497
10189,4.338,1.861,0.333
11101,-1.495,-0.694,3.655
11106,2.52,3.333,-0.819
11107,-0.81,8.339,0.587
11105,0.264,0.016,5.195
13852,11.061,8.232,2.793
13853,0.002,9.962,5.311
13850,7.616,4.013,1.27
13851,13.451,6.654,1.334
13856,8.899,8.037,7.954
13854,7.7,9.265,3.663
13855,5.78,10.676,5.33
13858,8.286,10.491,3.775
13859,-0.473,3.438,4.316
11030,0.164,2.727,7.049
8037,7.869,13.885,23.029
13516,-3.47,0.821,1.086
10437,-1.201,-0.484,-5.71
10313,-0.379,4.745,6.229
13709,-1.545,0.589,7.013
7833,-1.404,12.945,0.111
13463,1.159,3.988,9.592
9422,-3.594,-1.117,-0.668
10377,-0.23,-0.376,5.732
10374,9.77,11.332,14.242
10372,-0.049,2.564,6.721
10373,0.258,4.424,7.519
10370,17.123,14.213,8.407
8863,-0.412,-3.004,-0.478
13864,-0.88,-1.142,3.029
13863,-1.814,2.815,4.025
13862,7.239,8.273,3.093
11004,-0.37,1.079,7.533
8026,18.96,8.602,8.979
8469,3.461,1.305,0.364
8024,-1.274,9.071,4.568
13642,3.553,-0.472,-0.721
13883,4.686,7.406,3.549
13882,-1.58,3.355,0.52
13981,0.612,3.468,0.974
13505,-0.434,9.486,24.199
10442,5.169,18.36,12.42
9360,1.724,4.4,0.487
9560,0.692,1.125,6.453
9569,-0.851,-0.003,3.673
10521,0.604,3.423,0.804
9707,-0.317,2.299,8.958
10235,3.383,-0.091,-0.24
8169,0.028,-0.728,3.257
13878,9.828,13.147,3.937
13879,-1.805,8.672,2.33
13873,-0.104,2.053,9.114
13875,-0.61,-0.326,3.032
13876,5.807,1.983,7.209
10457,-0.702,6.569,6.638
11017,3.843,1.137,-2.389
10456,7.241,16.538,9.538
8475,20.281,6.476,9.374
11338,0.474,-2.055,3.752
8477,0.186,-1.49,4.033
8472,0.463,-1.685,3.205
10431,1.78,-0.725,7.123
9954,-0.311,-0.275,4.494
9957,6.91,-1.286,-1.324
16596,-1.277,4.255,3.992
10354,0.029,1.811,11.029
10355,0.881,-0.51,8.452
10356,-0.008,-0.893,4.182
13839,8.063,11.322,4.745
10759,3.037,-1.644,-1.98
10756,1.951,2.968,7.061
10757,-3.648,-1.095,-1.734
10532,0.346,-1.265,19.367
10539,3.288,0.016,-1.198
14051,-3.265,-1.813,-0.691
14054,10.395,8.503,5.317
9005,-0.226,-0.836,-4.034
9398,3.897,0.286,-1.036
7799,0.45,-1.189,3.335
8063,-0.45,-3.654,-0.047
13791,-0.674,3.815,-1.659
13793,-1.03,-0.678,-3.202
14031,13.146,18.754,10.93
9819,-1.854,-0.705,4.081
11254,-0.284,-0.676,4.826
9927,3.505,-0.909,0.343
13686,0.696,0.009,3.579
11099,-0.258,13.024,-0.005
13416,-1.597,2.655,5.355
10321,0.693,-0.345,5.489
10320,-1.168,0.139,9.518
10322,13.081,18.142,3.067
10327,-0.046,10.227,2.875
10326,-1.782,0.029,7.683
10329,4.706,7.948,2.267
9499,0.415,-3.433,1.398
9144,-0.329,1.77,3.094
14046,0.412,1.673,4.432
14048,-0.214,9.993,7.462
7943,7.494,-1.237,-1.788
10258,-0.25,-0.878,4.716
9037,3.41,-1.506,-0.464
10251,-0.806,0.863,9.928
10253,-0.767,1.398,3.458
10252,-0.753,-0.112,4.851
10255,0.012,2.178,3.471
10257,0.701,-1.321,-5.451
10256,12.552,24.878,7.582
11072,-1.275,0.766,9.847
11077,-1.351,3.025,-0.526
8679,1.608,-1.304,4.076
13783,-1.315,1.49,6.987
11314,4.674,-1.652,0.213
9808,5.209,17.062,6.899
9807,-1.088,3.699,-1.089
9806,7.714,0.136,-1.768
14045,13.788,22.092,7.421
9931,-1.311,1.652,4.186
10452,0.087,8.339,1.241
13420,-0.002,-1.606,8.001
10333,-0.522,0.67,9.72
10330,0.104,6.986,-1.327
10339,3.901,11.809,4.443
7905,-1.562,8.272,16.284
14037,6.919,5.794,5.647
14036,5.276,4.545,5.834
14039,7.05,15.194,9.937
14038,1.992,4.872,3.439
10796,3.63,11.7,3.822
10584,-1.639,0.952,6.054
10248,-0.487,2.19,6.341
10242,-0.867,-1.846,-3.54
8934,7.409,27.481,9.407
11459,0.731,-1.809,16.829
11039,1.134,5.865,2.852
11047,-0.162,-1.566,4.237
11043,3.555,2.22,0.0
11041,-1.208,3.777,-0.005
8244,-1.499,2.768,7.571
8640,17.163,16.057,9.755
9838,2.103,3.743,-1.434
10306,0.27,-3.603,-2.968
10305,7.418,9.063,2.863
8333,-1.635,-0.563,3.147
13683,0.978,-0.428,5.329
13682,4.027,-0.411,0.747
10300,-0.009,-2.459,-3.866
11279,0.794,3.062,-0.574
13431,0.023,1.521,3.46
13437,-1.215,0.025,4.578
10907,-0.002,7.611,14.84
10906,3.085,0.162,2.368
11454,4.737,0.539,-0.785
10309,-1.841,-1.722,8.621
10308,-0.104,-2.705,-3.243
10307,-0.039,-3.114,-3.946
10302,0.029,3.355,-2.611
10301,8.398,10.752,-3.583
14022,-0.961,5.531,4.827
14024,-0.946,3.757,-0.053
14028,-0.515,21.476,5.42
13708,-0.845,-0.795,3.32
10277,-0.442,4.464,3.212
10274,0.286,-0.155,-5.195
10272,1.857,3.776,0.031
10271,-0.675,0.317,5.555
10402,-0.022,-1.355,5.03
10404,-0.005,-2.767,-5.667
9057,3.794,23.395,10.082
8253,-1.707,5.083,2.778
8782,-0.468,0.073,7.441
8781,-0.505,4.912,-0.271
14019,1.557,0.017,13.59
8651,8.59,5.807,9.803
13926,8.476,0.092,0.0
13924,-0.018,0.549,3.661
13920,-1.297,-0.34,5.64
13695,-0.998,1.233,5.008
13696,5.871,9.676,5.975
13698,-1.154,1.818,3.721
13699,-0.03,0.206,6.502
8048,-0.899,-2.226,5.034
13740,1.175,4.666,10.06
13741,0.318,1.599,4.566
10276,0.561,-0.281,4.28
10343,-1.176,0.435,6.453
10270,-1.352,1.074,-3.68
10914,-0.523,2.149,3.774
10913,0.521,5.369,-0.478
10318,4.649,9.485,7.081
10319,8.112,19.136,4.825
10310,32.725,9.421,-1.146
10316,13.058,26.79,-0.389
14017,0.067,-0.269,4.21
14015,-0.064,0.62,4.47
14050,3.282,8.678,3.838
14053,4.974,13.418,-0.936
10260,0.069,-0.045,5.297
10262,0.1,-0.244,7.194
10264,-0.226,3.089,7.745
10265,-0.943,0.048,-5.008
10266,0.009,-0.224,6.471
10267,0.398,-0.841,-3.751
10269,-0.349,2.47,3.563
10460,3.357,-1.318,-2.985
10461,6.23,11.579,4.225
14164,3.182,-0.055,1.5
11191,4.022,2.029,0.958
8221,0.018,0.274,5.937
13914,-0.93,3.947,6.432
10040,3.104,-0.115,1.071
10922,3.952,-1.448,-0.654
10929,5.948,-1.365,-0.03
11435,-0.018,1.018,4.308
10673,-0.097,-2.18,7.03
13581,5.808,0.54,1.106
14003,3.013,0.205,0.586
10298,1.479,5.056,4.052
10295,0.229,0.352,12.131
10294,0.509,3.308,0.06
10297,-0.068,0.172,5.379
10296,-1.342,1.047,-4.395
10290,1.292,0.519,4.541
10293,0.273,-0.508,5.3
10453,2.393,14.051,6.42
10580,3.601,0.372,-1.353
10583,-0.897,2.34,3.256
11182,8.534,-0.028,0.0
11180,5.435,1.51,-0.479
13893,-0.143,-0.142,4.428
14047,0.078,2.962,4.22
14040,-0.617,3.69,3.379
14042,4.584,4.502,9.711
10133,5.476,0.696,6.726
11228,5.485,-0.099,-0.436
10036,-0.058,0.001,8.542
13573,1.909,-0.027,4.886
8023,2.96,0.0,7.129
13481,-0.26,0.074,34.515
10285,-0.052,-0.358,4.928
10280,-0.089,-0.977,6.644
9662,13.228,15.295,7.472
10590,0.913,10.374,3.825
10598,-0.01,0.157,19.037
11082,-0.064,-1.119,3.94
11154,2.825,0.643,5.767
11159,-2.009,0.129,3.661
11158,-1.784,5.817,-0.52
8596,-0.344,-0.788,3.574
8378,-1.267,3.621,7.361
13711,19.993,17.282,13.119
13713,-1.302,-0.4,3.827
13715,-0.661,-0.794,4.055
9895,-0.366,8.221,-0.532
8094,4.03,-1.283,2.175
11418,0.26,0.049,18.986
13918,2.844,3.813,8.961
10943,-0.746,3.741,3.838
9274,-1.724,-0.203,5.189
10052,0.529,-0.368,3.354
10617,-0.673,3.028,-0.468
13496,0.02,0.809,4.934
9098,-0.676,1.246,30.401
10439,0.757,-0.003,-3.861
10344,0.292,0.498,7.993
10544,-0.56,1.752,5.586
10549,7.655,19.708,12.99
8817,0.0,2.815,4.621
8811,3.505,0.002,2.652
8179,2.998,14.24,7.813
11140,4.215,-0.679,0.985
13662,10.938,5.88,5.311
13665,14.399,3.474,1.037
11393,0.782,2.262,10.728
13702,-0.367,2.62,3.929
13700,0.18,9.572,9.926
9661,6.417,7.262,6.483
13635,0.0,-0.004,5.295
9668,5.996,16.998,9.433
13551,-0.955,-0.616,6.374
13555,0.57,7.865,1.511
13554,0.954,-0.234,9.884
7892,13.032,15.791,19.753
7890,12.357,12.819,12.489
10739,3.481,-0.971,5.254
10603,1.334,4.146,3.987
10130,4.507,0.559,-0.741
9088,0.0,4.371,1.57
9087,-0.675,-0.782,3.269
9086,0.225,-0.007,4.427
9081,-0.328,0.344,-3.064
10423,3.116,-1.32,-0.451
10420,2.87,9.284,6.483
9312,1.724,2.077,11.548
10424,-0.799,-0.272,-3.14
8957,2.136,8.224,13.714
10556,-0.463,9.852,5.662
11429,-0.434,3.598,2.445
10314,13.097,11.328,-0.043
10315,0.401,8.721,-0.701
10317,18.398,6.969,4.534
